Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep,Total_Amount,Profit_Margin,Total_Cost,Discount_Percentage,Day_of_Week,Month_Name,Customer_Segment
009cefe6-6f47-4a52-b441-c931281b9565,2025-07-08,Canada,8740be34-3a9b-4446-ade3-1e91cc623b0e,Magazine,Sports,231.69000244140625,8,180.25999450683594,39.619998931884766,Mobile Payment,Adult,Female,Vancouver,Deborah Thomas,1853.52,22.20,1442.08,17.10,Tuesday,July,Gen X
00fd3cbf-93c2-413d-9a38-656e09fd8c92,2025-10-19,Canada,f98fe624-5d13-4374-849d-fa5c8c711e3b,Sign,Electronics,378.60000610351563,5,228.32000732421875,6.570000171661377,Mobile Payment,Young,Female,Montreal,Jonathan Harrison,1893.00,39.69,1141.60,1.74,Sunday,October,Millennials
0116a5e5-9e15-4cd3-af66-9921516e8c71,2025-03-15,Canada,34bdd1f5-e6cd-4193-98a3-950ea67ebc43,Maintain,Clothing,72.260002136230469,9,50.849998474121094,13.640000343322754,Mobile Payment,Young,Male,Montreal,Gerald Austin,650.34,29.63,457.65,18.88,Saturday,March,Millennials
019c6dfc-781a-4a24-b2dc-d72a4c32ebba,2025-10-09,Canada,b7e43ad9-6aa6-4a74-abfe-1974f00d7dd5,Government,Home & Kitchen,121.20999908447266,1,82.529998779296875,1.6200000047683716,Credit Card,Young,Male,Toronto,Arthur Dunlap,121.21,31.91,82.53,1.34,Thursday,October,Millennials
02de8b8b-a940-4fa8-9c5d-18c2f4b9e690,2025-08-17,Canada,7e8fd164-48dd-4c6a-959c-354ee9420606,During,Home & Kitchen,331.32998657226563,8,281.32000732421875,48.709999084472656,Cash,Senior,Female,Montreal,Eugene Ferrell,2650.64,15.09,2250.56,14.70,Sunday,August,Boomers
03a5c448-b806-4c4a-9129-77e63f47b99b,2025-02-16,Canada,8fa779e8-01e5-48ee-baa4-c2e8af8b17bb,Step,Beauty,127.66000366210938,7,81.029998779296875,9.5,Mobile Payment,Adult,Other,Toronto,Eric Ellis,893.62,36.53,567.21,7.44,Sunday,February,Gen X
05188dab-125e-4fc2-bf2a-f41894f470ca,2025-03-03,Canada,936431b3-21fd-43df-83c9-b7186cc44eea,Like,Clothing,67.099998474121094,6,57.139999389648438,12.880000114440918,Cash,Senior,Male,Vancouver,Madison Perez,402.60,14.84,342.84,19.20,Monday,March,Boomers
0585e12c-1677-4ede-8010-3a71b6f4a67b,2025-05-14,Canada,81fa4941-38bb-438b-8c0f-1d99adda7afe,Experience,Toys,112.09999847412109,7,89.629997253417969,0.76999998092651367,Mobile Payment,Adult,Other,Vancouver,Maria Brown,784.70,20.04,627.41,.69,Wednesday,May,Gen X
059186ce-adc1-45d0-839e-8e4dc760520b,2025-12-13,Canada,e47e8f2a-1526-4d15-bae0-f54ac9703e84,Concern,Electronics,483.97000122070313,6,404.25,77.589996337890625,Mobile Payment,Young,Male,Toronto,Benjamin Graham,2903.82,16.47,2425.50,16.03,Saturday,December,Millennials
05f7fa3b-8b6e-4b74-87ab-c093cd94cd6c,2025-12-14,Canada,ddbeb11d-e70a-4f70-9acc-970102eef3df,Sometimes,Toys,335.8599853515625,9,207.13999938964844,26.100000381469727,Credit Card,Senior,Other,Montreal,Bianca Taylor,3022.74,38.33,1864.26,7.77,Sunday,December,Boomers
061f89e3-ecb1-4303-b17a-f7eac77fb1b3,2025-07-07,Canada,74435c5b-8320-4254-8ac1-a168e3c6568f,Never,Home & Kitchen,406.41000366210938,9,331.3699951171875,36.389999389648438,Credit Card,Senior,Female,Montreal,Cesar Avery,3657.69,18.46,2982.33,8.95,Monday,July,Boomers
071189ff-5185-4431-a435-c4dd71a998dd,2025-12-13,Canada,e6c90f5c-dfc5-43d6-9f43-5cda051a3f4d,Change,Clothing,196.02000427246094,10,146.08999633789063,16.649999618530273,Cash,Senior,Female,Toronto,Dominique Christensen,1960.20,25.47,1460.90,8.49,Saturday,December,Boomers
07df4deb-f526-47a7-90ed-b08221c5e9cc,2025-01-26,Canada,307398e1-a80b-48e0-9588-325531c88549,Trip,Sports,198.25999450683594,10,148.60000610351563,4.5,Mobile Payment,Young,Male,Toronto,Kelly Duran,1982.60,25.05,1486.00,2.27,Sunday,January,Millennials
09101008-35ec-4b03-b148-1ca70fa0172a,2025-08-06,Canada,a3872d67-5d17-4e09-bb23-ccf328c849e3,Happen,Electronics,263.55999755859375,1,210.42999267578125,14.119999885559082,Credit Card,Young,Female,Vancouver,Linda Rodriguez,263.56,20.16,210.43,5.36,Wednesday,August,Millennials
0a82abc9-d0e1-4d07-bb19-7b72bbc6c0a7,2025-01-23,Canada,207c1a51-60cd-49a5-99a4-fc6f0ec8c40f,Memory,Toys,31.579999923706055,5,23.760000228881836,4.3499999046325684,Cash,Adult,Other,Montreal,Joseph Aguirre,157.90,24.76,118.80,13.77,Thursday,January,Gen X
0a9c560c-7fb1-48d9-b424-6b551282c9bf,2025-12-11,Canada,2a0b7ad6-a96e-477d-9670-9187b8fa5139,Dream,Sports,59.689998626708984,1,43.009998321533203,1.8500000238418579,Mobile Payment,Young,Female,Vancouver,Elizabeth Riddle,59.69,27.94,43.01,3.10,Thursday,December,Millennials
0aaed8aa-3820-4744-94c0-a84843744193,2025-12-13,Canada,f10f428e-d0c9-4e0a-b093-95123c588236,Baby,Electronics,452.01998901367188,10,309.05999755859375,2.9300000667572021,Credit Card,Adult,Male,Montreal,Jennifer Washington,4520.20,31.63,3090.60,.65,Saturday,December,Gen X
0b36c24b-51db-4411-8479-b65392016270,2025-07-08,Canada,ebac93b8-6fcc-4293-9f3a-d01e607e8859,Health,Sports,307.6099853515625,7,227.3699951171875,38.680000305175781,Cash,Senior,Other,Vancouver,Joseph Olson,2153.27,26.08,1591.59,12.57,Tuesday,July,Boomers
0cff7ec1-4bcd-43dd-afff-4e6f49ce897e,2025-11-20,Canada,f473dbbd-7c26-42c4-ba65-33261ed23082,No,Sports,394.39999389648438,6,285.8900146484375,67.269996643066406,Credit Card,Young,Other,Montreal,Jordan Davies,2366.40,27.51,1715.34,17.06,Thursday,November,Millennials
0d17a1a7-b7b0-4b70-90b8-5c4e2d49163c,2025-04-04,Canada,876feda7-3908-4f52-91fe-bd1804cbd9d0,I,Clothing,441.52999877929688,3,371.92999267578125,7.4000000953674316,Cash,Young,Female,Toronto,Kenneth Davis,1324.59,15.76,1115.79,1.68,Friday,April,Millennials
0e9dd20d-3c60-4e75-a2fd-a139f39aa4a9,2025-04-16,Canada,4c99ebe7-6586-44f7-87ea-93478dc6940e,Baby,Electronics,492.6400146484375,5,400.58999633789063,64.470001220703125,Cash,Young,Other,Montreal,Ashley Dyer,2463.20,18.69,2002.95,13.09,Wednesday,April,Millennials
0f1b406d-8da2-4073-bc27-83ef8dac6361,2025-08-18,Canada,f29d6416-4bd5-4af5-a5ce-2bc65388c652,Body,Electronics,451.14999389648438,9,391.6099853515625,73.879997253417969,Cash,Senior,Female,Montreal,Jesse Thompson,4060.35,13.20,3524.49,16.38,Monday,August,Boomers
0f363297-ec53-436b-b0cc-f2d95d5ea82c,2025-09-18,Canada,5a74c05f-5cbb-4ab4-b7d4-63a494e66ef1,Perform,Home & Kitchen,70.720001220703125,4,50.360000610351563,5.369999885559082,Mobile Payment,Senior,Male,Vancouver,Andrew Anthony,282.88,28.79,201.44,7.59,Thursday,September,Boomers
0fcc350e-668a-4b2b-a3fb-a581417ab901,2025-12-22,Canada,0cba2cb6-a6f8-4106-98b0-3ab0b152d132,Sport,Beauty,406.26998901367188,5,351.23001098632813,16.969999313354492,Mobile Payment,Adult,Male,Toronto,Ebony Williams,2031.35,13.55,1756.15,4.18,Monday,December,Gen X
